register ,attribute            ,address ,addr  ,size ,type  ,group     ,active ,byteorder    ,function            ,description
U1       ,voltage_a            ,     10 ,30011 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Tensão Linha 1 (V)
U2       ,voltage_b            ,     12 ,30013 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Tensão Linha 2 (V)
U3       ,voltage_c            ,     14 ,30015 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Tensão Linha 3 (V)
I1       ,current_a            ,     20 ,30021 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Corrente Linha 1 (A)
I2       ,current_b            ,     22 ,30023 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Corrente Linha 2 (A)
I3       ,current_c            ,     24 ,30025 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Corrente Linha 3 (A)
Freq-FA  ,frequency_a          ,     26 ,30027 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Frequência Linha 1
Freq-FB  ,frequency_b          ,     28 ,30029 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Frequência Linha 2
Freq-FC  ,frequency_c          ,     30 ,30031 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Frequência Linha 3
Freq-IEC ,frequency_iec        ,     32 ,30033 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Frequência Linha 1 (IEC – 10s)
P0       ,total_active_power   ,     34 ,30035 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Trifásica (W)
P1       ,active_power_a       ,     36 ,30037 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Linha 1 (W)
P2       ,active_power_b       ,     38 ,30039 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Linha 2 (W)
P3       ,active_power_c       ,     40 ,30041 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Linha 3 (W)
Q0       ,total_reactive_power ,     42 ,30043 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Trifásica (VAr)
Q1       ,reactive_power_a     ,     44 ,30045 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Linha 1 (VAr)
Q2       ,reactive_power_b     ,     46 ,30047 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Linha 2 (VAr)
Q3       ,reactive_power_c     ,     48 ,30049 ,   2 ,f32   ,minutely  ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Linha 3 (VAr)
