register                      ,attribute                        ,address ,size ,Type    ,group    ,active ,byteorder    ,function              ,description
RTC_Ano                       ,year                             ,     10 ,   1 ,short16 ,datetime ,true   ,MSB_LSB      ,Read_Holding_Registers ,Ano
RTC_Mes                       ,month                            ,     11 ,   1 ,Short16 ,datetime ,true   ,MSB_LSB      ,Read_Holding_Registers ,Mês
RTC_DiaDoAno                  ,day_of_the_year                  ,     12 ,   1 ,short16 ,datetime ,true   ,MSB_LSB      ,Read_Holding_Registers ,Dia do Ano
RTC_DiaDaSemana               ,day_of_the_week                  ,     13 ,   1 ,short16 ,datetime ,true   ,MSB_LSB      ,Read_Holding_Registers ,Dia da Semana
RTC_DiaDoMes                  ,day_of_the_month                 ,     14 ,   1 ,short16 ,datetime ,true   ,MSB_LSB      ,Read_Holding_Registers ,Dia do Mês
RTC_Hora                      ,hour                             ,     15 ,   1 ,short16 ,datetime ,true   ,MSB_LSB      ,Read_Holding_Registers ,Hora
RTC_Minuto                    ,minute                           ,     16 ,   1 ,short16 ,datetime ,true   ,MSB_LSB      ,Read_Holding_Registers ,Minuto
RTC_Segundo                   ,second                           ,     17 ,   1 ,short16 ,datetime ,true   ,MSB_LSB      ,Read_Holding_Registers ,Segundo
FreqA                         ,frequency_a                      ,     66 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Medição Frequência fase A
UrmsA                         ,voltage_a                        ,     68 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Tensão na Fase A
UrmsB                         ,voltage_b                        ,     70 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Tensão na Fase B
UrmsC                         ,voltage_c                        ,     72 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Tensão na Fase C
IrmsA                         ,current_a                        ,     74 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Corrente na Fase A
IrmsB                         ,current_b                        ,     76 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Corrente na Fase B
IrmsC                         ,current_c                        ,     78 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Corrente na Fase C
PotAtivA                      ,active_power_a                   ,     80 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Ativa na Fase A
PotAtivB                      ,active_power_b                   ,     82 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Ativa na Fase B
PotAtivC                      ,active_power_c                   ,     84 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Ativa na Fase C
PotAtivT                      ,total_active_power               ,     86 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Ativa Total
PotReatA                      ,reactive_power_a                 ,     88 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Reativa na Fase A
PotReatB                      ,reactive_power_b                 ,     90 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Reativa na Fase B
PotReatC                      ,reactive_power_c                 ,     92 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Reativa na Fase C
PotReatT                      ,total_reactive_power             ,     94 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Reativa Total
PotAparA                      ,apparent_power_a                 ,     96 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Aparente na Fase A
PotAparB                      ,apparent_power_b                 ,     98 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Aparente na Fase B
PotAparC                      ,apparent_power_c                 ,    100 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Aparente na Fase C
PotAparT                      ,total_apparent_power             ,    102 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Potência Aparente Total
FatPotA                       ,power_factor_a                   ,    104 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Fator de Potência Fase A
FatPotB                       ,power_factor_b                   ,    106 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Fator de Potência Fase B
FatPotC                       ,power_factor_c                   ,    108 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Fator de Potência Fase C
FatPotT                       ,total_power_factor               ,    110 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Fator de Potência Total
DhtUA                         ,dht_voltage_a                    ,    112 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,DHT Tesão Fase A
DhtUB                         ,dht_voltage_b                    ,    114 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,DHT Tesão Fase B
DhtUC                         ,dht_voltage_c                    ,    116 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,DHT Tesão Fase C
DhtIA                         ,dht_current_a                    ,    118 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,DHT Corrente Fase A
DhtIB                         ,dht_current_b                    ,    120 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,DHT Corrente Fase B
DhtIC                         ,dht_current_c                    ,    122 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,DHT Corrente Fase C
ConsumoA                      ,consumption_a                    ,    132 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo fase A (desde o último reset)
ConsumoB                      ,consumption_b                    ,    134 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo fase B (desde o último reset)
ConsumoC                      ,consumption_c                    ,    136 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo fase C (desde o último reset)
ConsumoT                      ,total_consumption                ,    138 ,   2 ,float32 ,minutely ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo total (desde o último reset)
EnergGerPontaMesPassado       ,generated_energy_peak_time       ,    156 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia gerada no mês anterior no horário de ponta
EnergGerForaPontaMesPassado   ,generated_energy_off_peak_time   ,    158 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Energia gerada no mês anterior no horário fora de ponta
ConsumoPontaMesPassado        ,consumption_peak_time            ,    162 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo no mês anterior no horário de ponta
ConsumoForaPontaMesPassado    ,consumption_off_peak_time        ,    164 ,   2 ,float32 ,monthly  ,true   ,EXP_F0_F1_F2 ,Read_Holding_Registers ,Consumo no mês anterior no horário fora de ponta
