register ,address ,addr  ,size ,type   ,group    ,active ,byteorder    ,datamodel           ,description
NS       ,     00 ,30001 ,   2 ,uint32 ,         ,false  ,MSB_LSB      ,read_input_register ,Número de Série
U0       ,     02 ,30003 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Tensão Trifásica (V)
U12      ,     04 ,30005 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Tensão Fase/Fase (A-B)
U23      ,     06 ,30007 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Tensão Fase/Fase (B-C)
U31      ,     08 ,30009 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Tensão Fase/Fase (C-A)
U1       ,     10 ,30011 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Tensão Linha 1 (V)
U2       ,     12 ,30013 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Tensão Linha 2 (V)
U3       ,     14 ,30015 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Tensão Linha 3 (V)
I0       ,     16 ,30017 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Corrente Trifásica (A)
IN       ,     18 ,30019 ,   2 ,f32    ,datatime ,true   ,F2_F1_F0_EXP ,read_input_register ,Corrente de Neutro
I1       ,     20 ,30021 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Corrente Linha 1 (A)
I2       ,     22 ,30023 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Corrente Linha 2 (A)
I3       ,     24 ,30025 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Corrente Linha 3 (A)
Freq-FA  ,     26 ,30027 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Frequência Linha 1
Freq-FB  ,     28 ,30029 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Frequência Linha 2
Freq-FC  ,     30 ,30031 ,   2 ,f32    ,         ,false  ,F2_F1_F0_EXP ,read_input_register ,Frequência Linha 3
Freq-IEC ,     32 ,30033 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Frequência Linha 1 (IEC – 10s)
P0       ,     34 ,30035 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Trifásica (W)
P1       ,     36 ,30037 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Linha 1 (W)
P2       ,     38 ,30039 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Linha 2 (W)
P3       ,     40 ,30041 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Ativa Linha 3 (W)
Q0       ,     42 ,30043 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Trifásica (VAr)
Q1       ,     44 ,30045 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Linha 1 (VAr)
Q2       ,     46 ,30047 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Linha 2 (VAr)
Q3       ,     48 ,30049 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Reativa Linha 3 (VAr)
S0       ,     50 ,30051 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Aparente Trifásica (VA)
S1       ,     52 ,30053 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Aparente Linha 1 (VA)
S2       ,     54 ,30055 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Aparente Linha 2 (VA)
S3       ,     56 ,30057 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Potência Aparente Linha 3 (VA)
FP0      ,     58 ,30059 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Potência Trifásico
FP1      ,     60 ,30061 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Potência Linha 1
FP2      ,     62 ,30063 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Potência Linha 2
FP3      ,     64 ,30065 ,   2 ,f32    ,minutely ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Potência Linha 3
FP0-D    ,     66 ,30067 ,   2 ,f32    ,         ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Pot. Trifásico – Desloc.
FP1-D    ,     68 ,30069 ,   2 ,f32    ,         ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Pot. Linha 1 – Desloc.
FP2-D    ,     70 ,30071 ,   2 ,f32    ,         ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Pot. Linha 1 – Desloc.
FP3-D    ,     72 ,30073 ,   2 ,f32    ,         ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator de Pot. Linha 1 – Desloc.
FD       ,     74 ,30075 ,   2 ,f32    ,         ,true   ,F2_F1_F0_EXP ,read_input_register ,Desequilíbrio de Tensão
FK1      ,     76 ,30077 ,   2 ,f32    ,         ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator K – Fase 1
FK2      ,     78 ,30079 ,   2 ,f32    ,         ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator K – Fase 2
FK3      ,     80 ,30081 ,   2 ,f32    ,         ,true   ,F2_F1_F0_EXP ,read_input_register ,Fator K – Fase 3
EDP-1    ,     94 ,30095 ,   2 ,f32    ,         ,true   ,F2_F1_F0_EXP ,read_input_register ,Contador da EDP-1*
EDP-2    ,     96 ,30097 ,   2 ,f32    ,         ,true   ,F2_F1_F0_EXP ,read_input_register ,Contador da EDP-2*
EDP-3    ,     98 ,30099 ,   2 ,f32    ,         ,true   ,F2_F1_F0_EXP ,read_input_register ,Contador da EDP-3*
EDP1S    ,    110 ,30111 ,   1 ,uint16 ,         ,false  ,LSB_MSB      ,read_input_register ,Status da EDP-1
EDP2S    ,    111 ,30112 ,   1 ,uint16 ,         ,false  ,LSB_MSB      ,read_input_register ,Status da EDP-2
EDP3S    ,    112 ,30113 ,   1 ,uint16 ,         ,false  ,LSB_MSB      ,read_input_register ,Status da EDP-3
OUT1S    ,    113 ,30114 ,   1 ,uint16 ,         ,false  ,LSB_MSB      ,read_input_register ,Status da SD-1
OUT2S    ,    114 ,30115 ,   1 ,uint16 ,         ,false  ,LSB_MSB      ,read_input_register ,Status da SD-2
EDP-1    ,    130 ,30131 ,   1 ,uint16 ,         ,false  ,LSB_MSB      ,read_input_register ,Largura do pulso EDP-1**
